genotype,plot,row,col,block,rep,inoc,pheno,checkId,mean_NDVI,mean_OSAVI,median_NDVI,median_OSAVI
JG1,267,16,14,6,2,I,Sev07,noCheck,0.567828689533043,0.658677845904666,0.670115245899914,0.777330704328462
JS24,269,16,12,6,2,I,Sev07,noCheck,0.706751414658651,0.819827316944917,0.737635833652901,0.855653043899935
JS31,271,16,10,6,2,I,Sev07,noCheck,0.610443052390188,0.708110953992548,0.655433757879365,0.760300910435964
JG37,272,16,9,6,2,I,Sev07,noCheck,0.647227499961798,0.750780980402405,0.681007546836671,0.789965628279069
JS3,274,17,8,6,2,I,Sev07,noCheck,0.559971478254241,0.649564292567306,0.602527078093937,0.698927723632955
JS10,276,17,10,6,2,I,Sev07,noCheck,0.656246139139964,0.761242130401283,0.707746023535497,0.820983263977075
JT35,280,17,14,6,2,I,Sev07,noCheck,0.588837874865708,0.683048355580371,0.68011994293038,0.788936081305516
JG36,281,18,14,6,2,I,Sev07,noCheck,0.605691692153373,0.702599164781178,0.671763028213506,0.779242862166141
JS38,283,18,12,6,2,I,Sev07,noCheck,0.638896952378127,0.741117076522093,0.676871046313982,0.785168212330875
NA,284,18,11,6,2,I,Sev07,Heritage,0.690224368516296,0.800656784845652,0.731136021415426,0.848114000941382
JS8,285,18,10,6,2,I,Sev07,noCheck,0.592098995713187,0.686832033765215,0.644346871569704,0.74744021899129
JG16,288,19,8,6,2,I,Sev07,noCheck,0.696597048065515,0.808049470906584,0.723942190492774,0.83977060137043
JS27,289,19,9,6,2,I,Sev07,noCheck,0.619527574182464,0.718648111049687,0.646843552265002,0.750334342935844
JS5,290,19,10,6,2,I,Sev07,noCheck,0.646951236630242,0.750460044203417,0.69683808835127,0.808327551226318
JT11,293,19,13,6,2,I,Sev07,noCheck,0.628351169130441,0.728883419158333,0.662690610818863,0.768718315691041
JG13,294,19,14,6,2,I,Sev07,noCheck,0.674905748767455,0.782887347786412,0.71944463442993,0.834551209623366
JG8,298,20,11,6,2,I,Sev07,noCheck,0.620487481822685,0.719762001590376,0.696897879619962,0.808397086207201
JT26,299,20,10,6,2,I,Sev07,noCheck,0.6797911582732,0.788553884391354,0.714591296657181,0.828921630730901
JG17,300,20,9,6,2,I,Sev07,noCheck,0.570461210750323,0.661731890541777,0.606472963396862,0.703506328880968
NA,301,20,8,6,2,I,Sev07,Salmon,0.690041543199084,0.800445157347085,0.727537409438689,0.843940347338895
JT13,302,21,8,6,2,I,Sev07,noCheck,0.611911327818773,0.709814236729075,0.649894022222582,0.753874568283327
JG15,303,21,9,6,2,I,Sev07,noCheck,0.651778018483491,0.756058571949386,0.678555552850715,0.787120425552171
NA,304,21,10,6,2,I,Sev07,Jewel,0.638478341140473,0.740631055902004,0.656260424415688,0.761258553623866
JS35,307,21,13,6,2,I,Sev07,noCheck,0.616494460963604,0.715129486003015,0.647337933578752,0.750906195551051
JT6,308,21,14,6,2,I,Sev07,noCheck,0.68250736325577,0.791704952821677,0.730850976066528,0.847784371462128
JT12,309,22,14,6,2,I,Sev07,noCheck,0.635247471654661,0.736883440759181,0.681420284760063,0.790443084166164
JT36,310,22,13,6,2,I,Sev07,noCheck,0.628077058100599,0.728565784221783,0.680637459168831,0.789535868538096
NA,311,22,12,6,2,I,Sev07,HimboTop,0.728765795403039,0.845364465245869,0.757323418122707,0.878492292515845
JT17,312,22,11,6,2,I,Sev07,noCheck,0.267024351071518,0.309745525993346,0.2858634642997,0.331598155873584
JS21,313,22,10,6,2,I,Sev07,noCheck,0.626956166787273,0.727265687728879,0.661924610366075,0.767826982044349
JG25,314,22,9,6,2,I,Sev07,noCheck,0.476120288910484,0.552296499021172,0.524293357833865,0.608177665556221
JT29,316,23,8,6,2,I,Sev07,noCheck,0.536554274118232,0.622399848601067,0.640209400216902,0.742640302090771
JG19,317,23,9,6,2,I,Sev07,noCheck,0.585992825049729,0.679748086080676,0.642609397978425,0.745423152024165
JG31,318,23,10,6,2,I,Sev07,noCheck,0.552551047940398,0.640956513435134,0.615422836132366,0.713888219773126
JT22,320,23,12,6,2,I,Sev07,noCheck,0.634921693522764,0.736505718773243,0.686936559936871,0.79684336079443
JS14,162,1,8,4,2,I,Sev09,noCheck,0.53436533113354,0.619860162371106,0.632383676163238,0.733560760835928
NA,163,1,9,4,2,I,Sev09,Salmon,0.743650698004575,0.862630761587196,0.768340517410664,0.891272066838956
JG18,165,1,11,4,2,I,Sev09,noCheck,0.715151180225485,0.829571063896476,0.766451063170533,0.889077723674976
JT26,171,2,12,4,2,I,Sev09,noCheck,0.742255995405669,0.86101294243542,0.783961465102977,0.909391521154235
JS1,174,2,9,4,2,I,Sev09,noCheck,0.689297238959775,0.799581317872368,0.73156136098218,0.848607213478556
JT31,179,3,11,4,2,I,Sev09,noCheck,0.694244205926376,0.805319331958066,0.751928446358431,0.872234796309255
JG42,184,4,13,4,2,I,Sev09,noCheck,0.579377351509983,0.672074810475475,0.680209798183269,0.789038567664823
JS29,185,4,12,4,2,I,Sev09,noCheck,0.623839785170652,0.723650974689281,0.698484662827268,0.810239561362378
NA,186,4,11,4,2,I,Sev09,Heritage,0.691370926085546,0.801986524248456,0.764557374379021,0.886880776084202
JS7,188,4,9,4,2,I,Sev09,noCheck,0.539060029292097,0.625306952640448,0.72397021016753,0.839802733267393
JS2,190,5,8,4,2,I,Sev09,noCheck,0.489121430719417,0.56737873369737,0.618070683007158,0.71695922376876
JT27,192,5,10,4,2,I,Sev09,noCheck,0.541347587948518,0.627959623111197,0.601712043752229,0.697982651372482
JT2,194,5,12,4,2,I,Sev09,noCheck,0.654485706842003,0.759200251664103,0.738357499335558,0.856490652378573
JG6,195,5,13,4,2,I,Sev09,noCheck,0.685910680584708,0.795652741168339,0.72691516954662,0.843218942223508
NA,196,5,14,4,2,I,Sev09,GoldenBliss,0.701212553690425,0.813402874387489,0.743635701683143,0.862613548655228
JT1,197,6,14,4,2,I,Sev09,noCheck,0.679404236123241,0.78810532294085,0.73446715289341,0.851979380552885
JT21,199,6,12,4,2,I,Sev09,noCheck,0.628450864668858,0.728999737420842,0.692536584282637,0.803339583542438
JS19,204,7,8,4,2,I,Sev09,noCheck,0.382123012842627,0.443260842636214,0.535832060873577,0.621560475367597
NA,206,7,10,4,2,I,Sev09,Jewel,0.372244936554497,0.431801486816686,0.416622675816763,0.483277768523493
JG39,207,7,11,4,2,I,Sev09,noCheck,0.694372240685839,0.805468220080286,0.728597239841618,0.845167599784109
JT28,208,7,12,4,2,I,Sev09,noCheck,0.681568103076686,0.790615571256964,0.74278821370394,0.861631485225114
JG32,209,7,13,4,2,I,Sev09,noCheck,0.707867485780428,0.821122233895228,0.748155156102176,0.867855602116167
JG9,210,7,14,4,2,I,Sev09,noCheck,0.627302672301037,0.727667209922811,0.657076234533078,0.762203845476878
JS12,211,8,14,5,2,I,Sev09,noCheck,0.659284699365869,0.764766314866201,0.692451782988761,0.803239610158956
JG12,212,8,13,5,2,I,Sev09,noCheck,0.632990289076044,0.734265228714484,0.668330047931737,0.775258210159519
JS15,213,8,12,5,2,I,Sev09,noCheck,0.6731200636195,0.780815410252932,0.713492247165008,0.827647175898283
JG4,214,8,11,4,2,I,Sev09,noCheck,0.65155720594954,0.755802916736289,0.672180048568752,0.779726470806445
JG34,215,8,10,4,2,I,Sev09,noCheck,0.607531669917714,0.704733372493217,0.681427653709379,0.790453502992101
JT19,216,8,9,4,2,I,Sev09,noCheck,0.646843358632502,0.750334888729094,0.704416668074283,0.817119905138151
JG21,218,9,8,5,2,I,Sev09,noCheck,0.194180910461446,0.225248989701075,0.121529260999573,0.140972738378997
